contest_id,year,raw_name,canonical,notes
2023|Scotland|Equality officer,2023,Equality officer,Equality Officer,
2025|Scotland|Equality Officer,2025,Equality Officer,Equality Officer,
2017/gs|general secretary|Election of General Secretary,2017,Election of General Secretary,General Secretary,
2019/gs|general secretary|Election of General Secretary 2019,2019,Election of General Secretary 2019,General Secretary,
2019/gs|general secretary|General Secretary,2019,General Secretary,General Secretary,
2024|UK national|General Secretary,2024,General Secretary,General Secretary,
2025|Scotland|Green Officer,2025,Green Officer,Green Officer,
2013|UK national|Honorary Treasurer,2013,Honorary Treasurer,Honorary Treasurer,
2017|UK national|Honorary Treasurer,2017,Honorary Treasurer,Honorary Treasurer,
2019|UK national|Honorary Treasurer,2019,Honorary Treasurer,Honorary Treasurer,
2021|UK national|Honorary Treasurer,2021,Honorary Treasurer,Honorary Treasurer,
2023|UK national|Honorary Treasurer,2023,Honorary Treasurer,Honorary Treasurer,
2025|UK national|Honorary Treasurer,2025,Honorary Treasurer,Honorary Treasurer,
2007|UK national|UCU - (Further Education) London and East,2007,UCU - (Further Education) London and East,"NEC Members, London and the East, FE",
2012|UK national|London and East FE,2012,London and East FE,"NEC Members, London and the East, FE",
2016|UK national|London and the East - FE,2016,London and the East - FE,"NEC Members, London and the East, FE",
2018|UK national|FE - London and the East,2018,FE - London and the East,"NEC Members, London and the East, FE",
2020|UK national|London and the East FE,2020,London and the East FE,"NEC Members, London and the East, FE",
2022|UK national|London and the East FE,2022,London and the East FE,"NEC Members, London and the East, FE",
2022|UK national|Further education,2022,Further education,"NEC Members, London and the East, FE","CHECK: scraped name, verify"
"2024|UK national|NEC Members, London & the East, Further Education",2024,"NEC Members, London & the East, Further Education","NEC Members, London and the East, FE",
"2026|UK national|NEC Members, London and the East, further education",2026,"NEC Members, London and the East, further education","NEC Members, London and the East, FE",
2007|UK national|UCU - (Higher Education) London and East,2007,UCU - (Higher Education) London and East,"NEC Members, London and the East, HE",
2010|UK national|UCU-London and East HE,2010,UCU-London and East HE,"NEC Members, London and the East, HE",
2012|UK national|London and East HE,2012,London and East HE,"NEC Members, London and the East, HE",
2014|UK national|Higher Education Members – London and the East,2014,Higher Education Members – London and the East,"NEC Members, London and the East, HE",
2016|UK national|London and the East - HE,2016,London and the East - HE,"NEC Members, London and the East, HE",
2018|UK national|HE - London and the East,2018,HE - London and the East,"NEC Members, London and the East, HE",
2020|UK national|NEC Members London and East HE,2020,NEC Members London and East HE,"NEC Members, London and the East, HE",
"2022|UK national|NEC Members, London and the East, higher education",2022,"NEC Members, London and the East, higher education","NEC Members, London and the East, HE",
"2024|UK national|NEC Members, London and the East, Higher Education",2024,"NEC Members, London and the East, Higher Education","NEC Members, London and the East, HE",
"2026|UK national|NEC Members, London & the East, Higher Education",2026,"NEC Members, London & the East, Higher Education","NEC Members, London and the East, HE",
2007|UK national|UCU - Midlands,2007,UCU - Midlands,"NEC Members, Midlands, FE",
2013|UK national|Further education members – Midlands,2013,Further education members – Midlands,"NEC Members, Midlands, FE",
2015|UK national|Midlands FE,2015,Midlands FE,"NEC Members, Midlands, FE",
2017|UK national|FE Midlands,2017,FE Midlands,"NEC Members, Midlands, FE",
2019|UK national|NEC Member Further Education-Midlands,2019,NEC Member Further Education-Midlands,"NEC Members, Midlands, FE",
"2021|UK national|NEC Member, Further Education, Midlands",2021,"NEC Member, Further Education, Midlands","NEC Members, Midlands, FE",
2023|UK national|Midlands,2023,Midlands,"NEC Members, Midlands, FE",check: inferred FE from source PDF
"2025|UK national|NEC Member, Midlands, Further Education",2025,"NEC Member, Midlands, Further Education","NEC Members, Midlands, FE",
2007|UK national|UCU-HE-Midlands,2007,UCU-HE-Midlands,"NEC Members, Midlands, HE",
2013|UK national|Higher education members - Midlands,2013,Higher education members - Midlands,"NEC Members, Midlands, HE",
2017|UK national|Midlands - HE,2017,Midlands - HE,"NEC Members, Midlands, HE",
2020/cv|UK national|NEC Member HE Midlands -Casual Vacancy,2020,NEC Member HE Midlands -Casual Vacancy,"NEC Members, Midlands, HE",
"2021|UK national|NEC Members, Higher Education, Midlands",2021,"NEC Members, Higher Education, Midlands","NEC Members, Midlands, HE",
"2023|UK national|NEC members, Midlands, higher education",2023,"NEC members, Midlands, higher education","NEC Members, Midlands, HE",
2025|UK national|Midlands,2025,Midlands,"NEC Members, Midlands, HE",check: inferred HE from source PDF
2025|UK national|Midlands HE,2025,Midlands HE,"NEC Members, Midlands, HE",
2007|UK national|UCU-FE-North East,2007,UCU-FE-North East,"NEC Members, North East, FE",
2010|UK national|North East FE,2010,North East FE,"NEC Members, North East, FE",
2012|UK national|North East FE,2012,North East FE,"NEC Members, North East, FE",
2014|UK national|Further Education Members – North East,2014,Further Education Members – North East,"NEC Members, North East, FE",
2016|UK national|North East - FE,2016,North East - FE,"NEC Members, North East, FE",
2018|UK national|FE - North East,2018,FE - North East,"NEC Members, North East, FE",
2020|UK national|NEC Member FE North East,2020,NEC Member FE North East,"NEC Members, North East, FE",
2022|UK national|North East FE,2022,North East FE,"NEC Members, North East, FE",
"2024|UK national|NEC Member, North East, Further Education",2024,"NEC Member, North East, Further Education","NEC Members, North East, FE",
2007|UK national|UCU - North East,2007,UCU - North East,"NEC Members, North East, HE",
2010|UK national|North East HE,2010,North East HE,"NEC Members, North East, HE",
2012|UK national|North East HE,2012,North East HE,"NEC Members, North East, HE",
2014|UK national|Higher Education Members – North East,2014,Higher Education Members – North East,"NEC Members, North East, HE",
2018|UK national|HE - North East,2018,HE - North East,"NEC Members, North East, HE",
2019|UK national|NEC Member Higher Education-North East,2019,NEC Member Higher Education-North East,"NEC Members, North East, HE",
2020|UK national|NEC Members North East HE,2020,NEC Members North East HE,"NEC Members, North East, HE",
"2022|UK national|NEC Members, North East, higher education",2022,"NEC Members, North East, higher education","NEC Members, North East, HE",
"2024|UK national|NEC Members, North East, Higher Education",2024,"NEC Members, North East, Higher Education","NEC Members, North East, HE",
2025/cv|casual vacancy|Higher Education (North East),2025,Higher Education (North East),"NEC Members, North East, HE",
"2026|UK national|NEC Members, North East, higher education",2026,"NEC Members, North East, higher education","NEC Members, North East, HE",
2007|UK national|UCU - North West,2007,UCU - North West,"NEC Members, North West, FE",
2012/cv|UK national|North West - Casual Vacancy,2012,North West - Casual Vacancy,"NEC Members, North West, FE",from Count_FE_North_West.pdf
2013|UK national|Further education members – North West,2013,Further education members – North West,"NEC Members, North West, FE",
2015|UK national|North West FE,2015,North West FE,"NEC Members, North West, FE",
2019|UK national|NEC Member Further Education-North West,2019,NEC Member Further Education-North West,"NEC Members, North West, FE",
2021|UK national|North West FE,2021,North West FE,"NEC Members, North West, FE",
"2023|UK national|NEC members, North West, further education",2023,"NEC members, North West, further education","NEC Members, North West, FE",
"2025|UK national|NEC Member, North West, Further Education",2025,"NEC Member, North West, Further Education","NEC Members, North West, FE",
"2026/cv|UK national|NEC Member(casual vacancy) North West, further education",2026,"NEC Member(casual vacancy) North West, further education","NEC Members, North West, FE",
2009|UK national|UCU-Higher Education-North West,2009,UCU-Higher Education-North West,"NEC Members, North West, HE",
2013|UK national|Higher education members – North West,2013,Higher education members – North West,"NEC Members, North West, HE",
2015|UK national|North West HE,2015,North West HE,"NEC Members, North West, HE",
2018|UK national|FE - North West,2018,FE - North West,"NEC Members, North West, HE",
2019|UK national|NEC Members Higher Education-North West,2019,NEC Members Higher Education-North West,"NEC Members, North West, HE",
"2021|UK national|NEC Members, Higher Education, North West",2021,"NEC Members, Higher Education, North West","NEC Members, North West, HE",
"2023|UK national|NEC members, North West, higher education",2023,"NEC members, North West, higher education","NEC Members, North West, HE",
"2025|UK national|NEC Members, North West, Higher Education",2025,"NEC Members, North West, Higher Education","NEC Members, North West, HE",
2020|UK national|Northern Ireland FE,2020,Northern Ireland FE,"NEC Members, Northern Ireland, FE",
2022|UK national|Northern Ireland FE,2022,Northern Ireland FE,"NEC Members, Northern Ireland, FE",
2024|UK national|Northern Ireland,2024,Northern Ireland,"NEC Members, Northern Ireland, FE",both from FE source PDFs
2026|UK national|Northern Ireland,2026,Northern Ireland,"NEC Members, Northern Ireland, FE",both from FE source PDFs
2012|UK national|Northern Ireland HE,2012,Northern Ireland HE,"NEC Members, Northern Ireland, HE",
2016|UK national|Northern Ireland - HE,2016,Northern Ireland - HE,"NEC Members, Northern Ireland, HE",
2018|UK national|HE - Northern Ireland,2018,HE - Northern Ireland,"NEC Members, Northern Ireland, HE",
2020|UK national|NEC Member HE-Northern Ireland,2020,NEC Member HE-Northern Ireland,"NEC Members, Northern Ireland, HE",
2022|UK national|Northern Ireland HE,2022,Northern Ireland HE,"NEC Members, Northern Ireland, HE",
2007|UK national|UCU-FE-South,2007,UCU-FE-South,"NEC Members, South, FE",
"2021|UK national|NEC Member, Further Education, South",2021,"NEC Member, Further Education, South","NEC Members, South, FE",
"2023|UK national|NEC members, South, further education",2023,"NEC members, South, further education","NEC Members, South, FE",
"2025|UK national|NEC Member, South, Further Education",2025,"NEC Member, South, Further Education","NEC Members, South, FE",
2007|UK national|UCU - South,2007,UCU - South,"NEC Members, South, HE",
2009|UK national|UCU-Higher Education-South,2009,UCU-Higher Education-South,"NEC Members, South, HE",
2011|UK national|Higher Education South Members,2011,Higher Education South Members,"NEC Members, South, HE",
2013|UK national|Higher education members - South,2013,Higher education members - South,"NEC Members, South, HE",
2017|UK national|HE South,2017,HE South,"NEC Members, South, HE",
2019|UK national|NEC Members Higher Education-South,2019,NEC Members Higher Education-South,"NEC Members, South, HE",
"2021|UK national|NEC Members, South, Higher Education",2021,"NEC Members, South, Higher Education","NEC Members, South, HE",
"2023|UK national|NEC members, South, higher education",2023,"NEC members, South, higher education","NEC Members, South, HE",
"2025|UK national|NEC Members, South, Higher Education",2025,"NEC Members, South, Higher Education","NEC Members, South, HE",
2023|UK national|Wales (and Vice-President UCU Wales),2023,Wales (and Vice-President UCU Wales),"NEC Members, Wales (and Vice-President UCU Wales)",combined contest
2025|UK national|Wales (and Vice-President UCU Wales),2025,Wales (and Vice-President UCU Wales),"NEC Members, Wales (and Vice-President UCU Wales)",combined contest
2025|UK national|Wales FE,2025,Wales FE,"NEC Members, Wales, FE",
2021|UK national|Wales FE (and Vice-President of UCU Wales),2021,Wales FE (and Vice-President of UCU Wales),"NEC Members, Wales, FE (and Vice-President UCU Wales)",combined contest
2020|UK national|Wales HE,2020,Wales HE,"NEC Members, Wales, HE",
2022|UK national|Wales HE,2022,Wales HE,"NEC Members, Wales, HE",
"2024|UK national|NEC Member, Wales, Higher Education",2024,"NEC Member, Wales, Higher Education","NEC Members, Wales, HE",
2026|UK national|Wales,2026,Wales,"NEC Members, Wales, HE",inferred HE from source PDF
2026|UK national|Wales HE,2026,Wales HE,"NEC Members, Wales, HE",
2007|UK national|UCU-President-elect FE,2007,UCU-President-elect FE,"President-elect, FE",
2007|UK national|UCU-President-elect HE,2007,UCU-President-elect HE,"President-elect, HE",
2011|UK national|Black Members Rep,2011,Black Members Rep,Representatives of Black Members,
2013|UK national|Representatives of black members,2013,Representatives of black members,Representatives of Black Members,
2019|UK national|Representatives of Black Members,2019,Representatives of Black Members,Representatives of Black Members,
2021|UK national|Representatives of Black Members,2021,Representatives of Black Members,Representatives of Black Members,
2023|UK national|representatives of black members,2023,representatives of black members,Representatives of Black Members,
2023|Scotland|Executive committee member who is a Black* member,2023,Executive committee member who is a Black* member,Representatives of Black Members,
2025|UK national|Representatives of Black Members,2025,Representatives of Black Members,Representatives of Black Members,
2015|UK national|Casually Employed Members,2015,Casually Employed Members,Representatives of Casually Employed Members,
2021|UK national|Representative of Casually Employed Members,2021,Representative of Casually Employed Members,Representatives of Casually Employed Members,
2023|UK national|representative of casually-employed members,2023,representative of casually-employed members,Representatives of Casually Employed Members,
2023|UK national|Representatives of Casually Employed Members,2023,Representatives of Casually Employed Members,Representatives of Casually Employed Members,
2025|UK national|Representatives of Casually Employed Members,2025,Representatives of Casually Employed Members,Representatives of Casually Employed Members,
2011|UK national|Disabled Members Rep,2011,Disabled Members Rep,Representatives of Disabled Members,
2013|UK national|Representative of disabled members,2013,Representative of disabled members,Representatives of Disabled Members,
2019|UK national|Representative of Disabled Members,2019,Representative of Disabled Members,Representatives of Disabled Members,
2021|UK national|Representative of Disabled Members,2021,Representative of Disabled Members,Representatives of Disabled Members,
2022/cv|UK national|Casual vacancy: representative of disabled members,2022,Casual vacancy: representative of disabled members,Representatives of Disabled Members,
2023|UK national|representative of disabled members,2023,representative of disabled members,Representatives of Disabled Members,
2025|UK national|Representatives of Disabled Members,2025,Representatives of Disabled Members,Representatives of Disabled Members,
2011|UK national|LGBT Members Rep,2011,LGBT Members Rep,Representatives of LGBT+ Members,
2013|UK national|Representative of LGBT members,2013,Representative of LGBT members,Representatives of LGBT+ Members,
2015|UK national|LGBT Members,2015,LGBT Members,Representatives of LGBT+ Members,
2017|UK national|Representative of LGBT members,2017,Representative of LGBT members,Representatives of LGBT+ Members,
2020/cv|casual vacancy|Representative of LGBT+ Members,2020,Representative of LGBT+ Members,Representatives of LGBT+ Members,
2021|UK national|Representatives of LBGT+ Members,2021,Representatives of LBGT+ Members,Representatives of LGBT+ Members,
2023|UK national|representative of LGBT+ members,2023,representative of LGBT+ members,Representatives of LGBT+ Members,
2025|UK national|Representatives of LGBT+ Members,2025,Representatives of LGBT+ Members,Representatives of LGBT+ Members,
2018|UK national|Rep of Members in Landbased Education,2018,Rep of Members in Landbased Education,Representatives of Members in Land-Based Education,
2021|UK national|Representative of Members in Land Based Education,2021,Representative of Members in Land Based Education,Representatives of Members in Land-Based Education,
2021|UK national|Representative of members in land-based education (1 seat - unfilled),2021,Representative of members in land-based education (1 seat - unfilled),Representatives of Members in Land-Based Education,
2022/cv|UK national|Casual vacancy: representative of land-based members,2022,Casual vacancy: representative of land-based members,Representatives of Members in Land-Based Education,
2023|UK national|Representative of members in land-based education (1 seat - unfilled),2023,Representative of members in land-based education (1 seat - unfilled),Representatives of Members in Land-Based Education,
2024|UK national|Representative of Members in Land Based Education,2024,Representative of Members in Land Based Education,Representatives of Members in Land-Based Education,
2025|UK national|Representative of Members in Land Based Education,2025,Representative of Members in Land Based Education,Representatives of Members in Land-Based Education,
2021|UK national|Representative of Members in Prison Education,2021,Representative of Members in Prison Education,Representatives of Members in Prison Education,
2023|UK national|Representative of Members in Prison Education,2023,Representative of Members in Prison Education,Representatives of Members in Prison Education,
2025|UK national|Representative of Members in Prison Education,2025,Representative of Members in Prison Education,Representatives of Members in Prison Education,
2020|UK national|Representatives of Migrant Workers,2020,Representatives of Migrant Workers,Representatives of Migrant Members,
2020|UK national|Representatives of migrant members,2020,Representatives of migrant members,Representatives of Migrant Members,
2021|UK national|Representative of Migrant Members,2021,Representative of Migrant Members,Representatives of Migrant Members,
2022/cv|UK national|Representative of migrant members (casual vacancy),2022,Representative of migrant members (casual vacancy),Representatives of Migrant Members,
2023|UK national|representatives of migrant members,2023,representatives of migrant members,Representatives of Migrant Members,
2025|UK national|Representatives of Migrant Members,2025,Representatives of Migrant Members,Representatives of Migrant Members,
2025|UK national|Representatives of migrant members (2 seats),2025,Representatives of migrant members (2 seats),Representatives of Migrant Members,
2007|UK national|UCU-Women-FE,2007,UCU-Women-FE,"Representatives of Women Members, FE",
2012|UK national|Representatives of Women in FE,2012,Representatives of Women in FE,"Representatives of Women Members, FE",
2014|UK national|Women members’ representatives further education,2014,Women members’ representatives further education,"Representatives of Women Members, FE",UNMAPPED
2016|UK national|Representatives of Women - FE,2016,Representatives of Women - FE,"Representatives of Women Members, FE",
2018|UK national|Reps of Women Members from the FE sector,2018,Reps of Women Members from the FE sector,"Representatives of Women Members, FE",
2020|UK national|Election of Representatives of Women Members in Further Education,2020,Election of Representatives of Women Members in Further Education,"Representatives of Women Members, FE",
2020|UK national|Representatives of women members - Further education,2020,Representatives of women members - Further education,"Representatives of Women Members, FE",
2024|UK national|Women Members from the Further Education Sector,2024,Women Members from the Further Education Sector,"Representatives of Women Members, FE",
2026|UK national|Representative of women members from the further education sector,2026,Representative of women members from the further education sector,"Representatives of Women Members, FE",
2026|UK national|Rep. of Women Members from the Higher Ed. Sector,2026,Rep. of Women Members from the Higher Ed. Sector,"Representatives of Women Members, HE",
2007|UK national|UCU-Women-HE,2007,UCU-Women-HE,"Representatives of Women Members, HE",
2010|UK national|Women Members HE,2010,Women Members HE,"Representatives of Women Members, HE",
2012|UK national|Representatives of Women in HE,2012,Representatives of Women in HE,"Representatives of Women Members, HE",
2014|UK national|Women members’ representatives higher education,2014,Women members’ representatives higher education,"Representatives of Women Members, HE",UNMAPPED
2016|UK national|Representatives of Women - HE,2016,Representatives of Women - HE,"Representatives of Women Members, HE",
2018|UK national|Reps of Women Members from the HE sector,2018,Reps of Women Members from the HE sector,"Representatives of Women Members, HE",
2020|UK national|representatives of women members from the HE sector,2020,representatives of women members from the HE sector,"Representatives of Women Members, HE",
"2022|UK national|Representatives of women members, higher education",2022,"Representatives of women members, higher education","Representatives of Women Members, HE",
2024|UK national|Women Members from the Higher Education Sector,2024,Women Members from the Higher Education Sector,"Representatives of Women Members, HE",
2007|UK national|UCU-Trustees,2007,UCU-Trustees,Trustees,
2012|UK national|Trustees,2012,Trustees,Trustees,
2015|UK national|Trustees,2015,Trustees,Trustees,
2017|UK national|Trustees,2017,Trustees,Trustees,
2020|UK national|Trustees,2020,Trustees,Trustees,
2022|UK national|Trustees,2022,Trustees,Trustees,
2024|UK national|Trustees,2024,Trustees,Trustees,
2025|UK national|Trustees,2025,Trustees,Trustees,
2023|Scotland|UCU Scotland executive committee members,2023,UCU Scotland executive committee members,UCU Scotland Executive Committee Members,
2025|Scotland|Executive Committee members,2025,Executive Committee members,UCU Scotland Executive Committee Members,
2011|UK national|UCU Scotland Honorary Secretary NEC,2011,UCU Scotland Honorary Secretary NEC,UCU Scotland Honorary Secretary,
2013|UK national|Honorary Secretary UCU Scotland,2013,Honorary Secretary UCU Scotland,UCU Scotland Honorary Secretary,
2019|UK national|UCU Scotland Honorary Secretary Higher Education,2019,UCU Scotland Honorary Secretary Higher Education,UCU Scotland Honorary Secretary,
"2021|UK national|NEC Member Scotland, HE – UCU Scotland Honorary Secretary",2021,"NEC Member Scotland, HE – UCU Scotland Honorary Secretary",UCU Scotland Honorary Secretary,
2023|UK national|UCU Scotland Honorary Secretary,2023,UCU Scotland Honorary Secretary,UCU Scotland Honorary Secretary,
2025|UK national|UCU Scotland Honorary Secretary,2025,UCU Scotland Honorary Secretary,UCU Scotland Honorary Secretary,
2023|Scotland|UCU Scotland Honorary Treasurer,2023,UCU Scotland Honorary Treasurer,UCU Scotland Honorary Treasurer,
2020|UK national|NEC Member Scotland HE,2020,NEC Member Scotland HE,"UCU Scotland NEC Members, HE",
2011|UK national|UCU Scotland President NEC,2011,UCU Scotland President NEC,UCU Scotland President,
2015|UK national|President UCU Scotland,2015,President UCU Scotland,UCU Scotland President,
2019|UK national|UCU Scotland President Higher Education,2019,UCU Scotland President Higher Education,UCU Scotland President,
"2021|UK national|NEC Member Scotland, HE – UCU Scotland President",2021,"NEC Member Scotland, HE – UCU Scotland President",UCU Scotland President,
2023|UK national|UCU Scotland President,2023,UCU Scotland President,UCU Scotland President,
2025|UK national|UCU Scotland President,2025,UCU Scotland President,UCU Scotland President,
2023|Scotland|Vice-President,2023,Vice-President,UCU Scotland Vice President,
2025|Scotland|UCU Scotland Vice President,2025,UCU Scotland Vice President,UCU Scotland Vice President,
2007|UK national|UCU - NEC-Further Education,2007,UCU - NEC-Further Education,"UK NEC Members, FE",
2009|UK national|UCU-Further Education UK,2009,UCU-Further Education UK,"UK NEC Members, FE",
2010|UK national|UK-elected FE,2010,UK-elected FE,"UK NEC Members, FE",
2012|UK national|NEC,2012,NEC,"UK NEC Members, FE",
2013|UK national|UK Further Education NEC Members,2013,UK Further Education NEC Members,"UK NEC Members, FE",
2014|UK national|UK Further Education Members,2014,UK Further Education Members,"UK NEC Members, FE",
2015|UK national|UK-Elected FE NEC Members,2015,UK-Elected FE NEC Members,"UK NEC Members, FE",
2016|UK national|UK-Elected NEC-FE,2016,UK-Elected NEC-FE,"UK NEC Members, FE",
2017|UK national|UK-Elected members FE,2017,UK-Elected members FE,"UK NEC Members, FE",
2018|UK national|UK-elected members FE,2018,UK-elected members FE,"UK NEC Members, FE",
2019|UK national|UK-Elected NEC Members of the Further Education,2019,UK-Elected NEC Members of the Further Education,"UK NEC Members, FE",
2020|UK national|UK-NEC Members-FE Sector,2020,UK-NEC Members-FE Sector,"UK NEC Members, FE",
2020/cv|UK national|UK-NEC Member FE Sector-Casual Vacancy,2020,UK-NEC Member FE Sector-Casual Vacancy,"UK NEC Members, FE",
2021|UK national|UK-Elected NEC Members - Further Education Sector,2021,UK-Elected NEC Members - Further Education Sector,"UK NEC Members, FE",
2021/cv|casual vacancy|UK-Elected NEC Member Further Education Sector (Casual Vacancy),2021,UK-Elected NEC Member Further Education Sector (Casual Vacancy),"UK NEC Members, FE",
"2022|UK national|UK-Elected NEC Members, Further Education",2022,"UK-Elected NEC Members, Further Education","UK NEC Members, FE",
"2023|UK national|UK-elected NEC members, further education",2023,"UK-elected NEC members, further education","UK NEC Members, FE",
"2024|UK national|UK Elected NEC Members, Further Education",2024,"UK Elected NEC Members, Further Education","UK NEC Members, FE",
"2025|UK national|UK Elected NEC Members, Further Education",2025,"UK Elected NEC Members, Further Education","UK NEC Members, FE",
"2026|UK national|UK Elected Members, Further Education",2026,"UK Elected Members, Further Education","UK NEC Members, FE",
2007|UK national|UCU - NEC-Higher Education,2007,UCU - NEC-Higher Education,"UK NEC Members, HE",
2009|UK national|UCU-Higher Education UK,2009,UCU-Higher Education UK,"UK NEC Members, HE",
2010|UK national|UK-elected HE,2010,UK-elected HE,"UK NEC Members, HE",
2011|UK national|UK Higher Education NEC Members,2011,UK Higher Education NEC Members,"UK NEC Members, HE",
2012|UK national|HE UK-Elected NEC,2012,HE UK-Elected NEC,"UK NEC Members, HE",
2013|UK national|UK Higher Education Members,2013,UK Higher Education Members,"UK NEC Members, HE",
2014|UK national|UK Higher Education Members,2014,UK Higher Education Members,"UK NEC Members, HE",
2015|UK national|UK-Elected HE NEC Members,2015,UK-Elected HE NEC Members,"UK NEC Members, HE",
2016|UK national|UK-Elected NEC- HE,2016,UK-Elected NEC- HE,"UK NEC Members, HE",
2017|UK national|UK NEC Members HE,2017,UK NEC Members HE,"UK NEC Members, HE",
2018/cv|UK national|UK-Elected member HE (casual vacancy),2018,UK-Elected member HE (casual vacancy),"UK NEC Members, HE",
2018|UK national|UK-elected members HE,2018,UK-elected members HE,"UK NEC Members, HE",
2019|UK national|UK-Elected NEC Members of the Higher Education,2019,UK-Elected NEC Members of the Higher Education,"UK NEC Members, HE",
2020|UK national|UK-NEC Members-HE Sector,2020,UK-NEC Members-HE Sector,"UK NEC Members, HE",
2020/cv|UK national|UK-NEC Member HE Sector- casual vacancy,2020,UK-NEC Member HE Sector- casual vacancy,"UK NEC Members, HE",
2021|UK national|UK-Elected NEC Members - Higher Education Sector,2021,UK-Elected NEC Members - Higher Education Sector,"UK NEC Members, HE",
"2022|UK national|UK-Elected NEC Members, Higher Education",2022,"UK-Elected NEC Members, Higher Education","UK NEC Members, HE",
"2023|UK national|UK-elected NEC members, higher education",2023,"UK-elected NEC members, higher education","UK NEC Members, HE",
"2024|UK national|UK Elected NEC Members, Higher Education",2024,"UK Elected NEC Members, Higher Education","UK NEC Members, HE",
"2025|UK national|UK Elected NEC Members, Higher Education",2025,"UK Elected NEC Members, Higher Education","UK NEC Members, HE",
2025/cv|casual vacancy|UK-Elected Higher Education,2025,UK-Elected Higher Education,"UK NEC Members, HE",
"2026|UK national|UK Elected Members, Higher Education",2026,"UK Elected Members, Higher Education","UK NEC Members, HE",
2020/cv|casual vacancy|Vice-President,2020,Vice-President,Vice-President HE (Casual Vacancy),2020 CV - Justine Mercer elected
2009|UK national|UCU-Vice-President,2009,UCU-Vice-President,"Vice-President, HE",Terry Hoad elected; odd year → HE
2010|UK national|Vice-President,2010,Vice-President,"Vice-President, FE",Kathy Taylor elected; even year → FE
2014|UK national|Vice-President from the further education sector,2014,Vice-President from the further education sector,"Vice-President, FE",
2016|UK national|Vice President - FE,2016,Vice President - FE,"Vice-President, FE",
2018|UK national|Vice President from the FE,2018,Vice President from the FE,"Vice-President, FE",
2020|UK national|Vice President becoming President 2022-23,2020,Vice President becoming President 2022-23,"Vice-President, FE",Janet Farrar elected; even year → FE
2023|UK national|Vice President,2023,Vice President,"Vice-President, HE",Maria Chondrogianni elected; odd year → HE
2025|UK national|Vice President (becoming President in 2027-28),2025,Vice President (becoming President in 2027-28),"Vice-President, HE",Dyfrig Jones elected; odd year → HE
2026|UK national|Vice-President from the further education sector,2026,Vice-President from the further education sector,"Vice-President, FE",
2011|UK national|Vice President,2011,Vice President,"Vice-President, HE",from hevp filename
2012|UK national|Vice,2012,Vice,"Vice-President, FE",John McCormack elected; even year → FE
2013|UK national|Vice president from the higher education sector,2013,Vice president from the higher education sector,"Vice-President, HE",
2017|UK national|Vice President from the HE sector,2017,Vice President from the HE sector,"Vice-President, HE",
2019|UK national|Vice President from the Higher Education Sector,2019,Vice President from the Higher Education Sector,"Vice-President, HE",
2022|UK national|Vice President (becoming President in 2024-2025),2022,Vice President (becoming President in 2024-2025),"Vice-President, FE",Maxine Looby elected; even year → FE
2024|UK national|Vice-President,2024,Vice-President,"Vice-President, FE",David Hunter elected; even year → FE
2026/cv|UK national|Vice-President (Casual Vacancy),2026,Vice-President (Casual Vacancy),"Vice-President, HE",user confirmed HE CV
2012|UK national|Wales VP,2012,Wales VP,"Vice-President, UCU Wales",